name,email,source
Rafael Mendes,rafael@example.com,early-adopter
Marina Costa,marina@example.com,early-adopter
Diego Silva,diego@example.com,early-adopter
Carla Souza,carla@example.com,early-adopter
Lucas Ferreira,lucas@example.com,early-adopter
Ana Oliveira,ana@example.com,newsletter
Pedro Santos,pedro@example.com,newsletter
Julia Lima,julia@example.com,newsletter
Marcos Pereira,marcos@example.com,linkedin
Fernanda Alves,fernanda@example.com,linkedin
Thiago Ribeiro,thiago@example.com,twitter
Camila Martins,camila@example.com,devto
Bruno Araujo,bruno@example.com,gabriel
Letra Nascimento,letra@example.com,event
Ricardo Gomes,ricardo@example.com,parceiro
Patricia Duarte,patricia@example.com,parceiro
Gabriel Costa,gabriel@example.com,artigo
Isabela Ferreira,isabela@example.com,artigo
Felipe Mendonca,felipe@example.com,indication
Amanda Ribeiro,amanda@example.com,indication
